"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"US"|"US18155"|"Switzerland County, IN"|"US033"|"CINCINNATI-MIDDLETOWN-WILMINGTON - OH-KY-IN"
"US"|"US18157"|"Tippecanoe County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18159"|"Tipton County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18161"|"Union County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18163"|"Vanderburgh County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18165"|"Vermillion County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18167"|"Vigo County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18169"|"Wabash County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18171"|"Warren County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18173"|"Warrick County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18175"|"Washington County, IN"|"US098"|"LOUISVILLE-ELIZABETHTOWN-SCOTTSBURG - KY-IN"
"US"|"US18177"|"Wayne County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18179"|"Wells County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18181"|"White County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18183"|"Whitley County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US19001"|"Adair County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19003"|"Adams County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19005"|"Allamakee County, IA"|"US101"|"MADISON-BARABOO - WI"
"US"|"US19007"|"Appanoose County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19009"|"Audubon County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19011"|"Benton County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19013"|"Black Hawk County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19015"|"Boone County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19017"|"Bremer County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19019"|"Buchanan County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19021"|"Buena Vista County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19023"|"Butler County, IA"|"US175"|"WATERLOO-CEDAR FALLS - IA"
"US"|"US19025"|"Calhoun County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19027"|"Carroll County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19029"|"Cass County, IA"|"US120"|"OMAHA-COUNCIL BLUFFS-FREMONT - NE-IA"
"US"|"US19031"|"Cedar County, IA"|"US027"|"CEDAR RAPIDS - IA"
"US"|"US19033"|"Cerro Gordo County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19035"|"Cherokee County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19037"|"Chickasaw County, IA"|"US103"|"MASON CITY - IA"
"US"|"US19039"|"Clarke County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19041"|"Clay County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19043"|"Clayton County, IA"|"US101"|"MADISON-BARABOO - WI"
"US"|"US19045"|"Clinton County, IA"|"US043"|"DAVENPORT-MOLINE-ROCK ISLAND - IA-IL"
"US"|"US19047"|"Crawford County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19049"|"Dallas County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19051"|"Davis County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19053"|"Decatur County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
"US"|"US19055"|"Delaware County, IA"|"US101"|"MADISON-BARABOO - WI"
"US"|"US19057"|"Des Moines County, IA"|"US126"|"PEORIA-CANTON - IL"
"US"|"US19059"|"Dickinson County, IA"|"US046"|"DES MOINES-NEWTON-PELLA - IA"
