"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"US"|"US20093"|"Kearny County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20095"|"Kingman County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20097"|"Kiowa County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20099"|"Labette County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20101"|"Lane County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20103"|"Leavenworth County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20105"|"Lincoln County, KS"|"US141"|"SALINA - KS"
"US"|"US20107"|"Linn County, KS"|"US084"|"KANSAS CITY-OVERLAND PARK-KANSAS CITY - MO-KS"
"US"|"US20109"|"Logan County, KS"|"US141"|"SALINA - KS"
"US"|"US20111"|"Lyon County, KS"|"US167"|"TOPEKA - KS"
"US"|"US20113"|"McPherson County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20115"|"Marion County, KS"|"US179"|"WICHITA-WINFIELD - KS"
"US"|"US20117"|"Marshall County, KS"|"US167"|"TOPEKA - KS"
